"ALL_RATE_1112";"leanm11";"STNAM";"LONGITUDE";"LATITUDE";"leaid11";"ALL_COHORT_1112";"pct_Not_HS_Grad_ACS_08_12";"pct_Civ_emp_25_44_ACS_08_12"
87.0;"Houston County";"ALABAMA";;;101770;486;20.37735849;91.49797571
77.0;"Huntsville City";"ALABAMA";;;101800;1813;16.53658537;72.02797203
85.0;"Jackson County";"ALABAMA";;;101830;398;27.17543043;99.06143345
89.0;"Jacksonville City";"ALABAMA";;;101860;119;29.18747163;89.67391304
89.0;"Jasper City";"ALABAMA";;;101890;178;7.52665691;91.04134763
81.0;"Jefferson County";"ALABAMA";;;101920;2797;21.5477997;82.96875
69.0;"Lamar County";"ALABAMA";;;101950;197;25.56962025;81.90730838
85.0;"Lauderdale County";"ALABAMA";;;102010;659;31.83367417;87.36842105
86.0;"Lawrence County";"ALABAMA";;;102040;430;15.95026643;99.02491874
83.0;"Lee County";"ALABAMA";;;102070;824;14.92251437;80.22813688
86.0;"Limestone County";"ALABAMA";;;102100;732;20.52230183;91.22055675
69.0;"Lowndes County";"ALABAMA";;;102160;145;26.47887324;82.08232446
83.0;"Macon County";"ALABAMA";;;102190;236;12.61498029;87.43169399
76.0;"Madison County";"ALABAMA";;;102220;1707;14.65434852;99.34241428
84.0;"Marengo County";"ALABAMA";;;102250;128;25.71428571;99.24242424
72.0;"Marion County";"ALABAMA";;;102310;309;23.98230089;96.6555184
64.0;"Midfield City";"ALABAMA";;;102350;119;9.241555131;93.85964912
68.0;"Mobile County";"ALABAMA";;;102370;5366;17.00526712;93.81443299
76.0;"Monroe County";"ALABAMA";;;102400;347;39.66074313;81.48148148
64.0;"Montgomery County";"ALABAMA";;;102430;2137;11.76915323;96.79358717
78.0;"Morgan County";"ALABAMA";;;102480;621;17.0937764;83.72781065
98.0;"Mountain Brook City";"ALABAMA";;;102490;336;0.698361536;99.3176649
94.0;"Muscle Shoals City";"ALABAMA";;;102520;223;6.742193976;99.47460595
95.0;"Oneonta City";"ALABAMA";;;102550;108;23.74410498;81.17258464
81.0;"Opelika City";"ALABAMA";;;102580;320;19.16033944;89.70814132
84.0;"Opp City";"ALABAMA";;;102610;108;20.26066351;79.83870968
90.0;"Oxford City";"ALABAMA";;;102635;302;23.90098165;87.0246085
69.0;"Ozark City";"ALABAMA";;;102640;217;26.40692641;91.80327869
84.0;"Pell City";"ALABAMA";;;102650;316;14.61626575;85.13595166
94.0;"Perry County";"ALABAMA";;;102670;144;25.54867755;82.15613383
70.0;"Phenix City";"ALABAMA";;;102700;562;26.51482596;86.66666667
81.0;"Pickens County";"ALABAMA";;;102730;221;22.59332024;89.46280992
94.0;"Piedmont City";"ALABAMA";;;102760;86;23.41597796;85.54621849
69.0;"Pike County";"ALABAMA";;;102790;187;27.54075616;84.28571429
69.0;"Randolph County";"ALABAMA";;;102820;182;17.579722;85.64102564
94.0;"Roanoke City";"ALABAMA";;;102850;109;30.66837224;89.6
58.0;"Russell County";"ALABAMA";;;102880;311;38.36734694;85.0877193
89.0;"Russellville City";"ALABAMA";;;102910;157;29.26913751;93.8976378
79.0;"Scottsboro City";"ALABAMA";;;102940;203;28.36903939;89.85507246
74.0;"Selma City";"ALABAMA";;;102970;255;32.09975865;76.8627451
79.0;"Sheffield City";"ALABAMA";;;103000;95;49.51923077;89.11174785
89.0;"Shelby County";"ALABAMA";;;103030;1942;19.0116937;94.58728011
74.0;"St Clair County";"ALABAMA";;;103062;708;13.89843957;93.00608167
73.0;"Sumter County";"ALABAMA";;;103090;227;34.96762257;95.17241379
70.0;"Sylacauga City";"ALABAMA";;;103120;208;28.77563704;91.64490862
79.0;"Talladega City";"ALABAMA";;;103150;193;41.76291793;79.13385827
81.0;"Talladega County";"ALABAMA";;;103180;605;15.28082837;89.80645161
79.0;"Tallapoosa County";"ALABAMA";;;103210;249;22.71964186;82.67419962
79.0;"Tallassee City";"ALABAMA";;;103240;148;14.0651801;93.37252806
74.0;"Tarrant City";"ALABAMA";;;103270;94;21.6815624;89.22279793
89.0;"Thomasville City";"ALABAMA";;;103300;134;19.71030957;83.69453044
59.0;"Troy City";"ALABAMA";;;103330;198;17.30395334;97.4430239
71.0;"Tuscaloosa City";"ALABAMA";;;103360;787;14.21800948;89.1598916
74.0;"Tuscaloosa County";"ALABAMA";;;103390;1267;12.09937888;94.68154957
84.0;"Tuscumbia City";"ALABAMA";;;103420;112;15.18151815;89.19708029
97.0;"Vestavia Hills City";"ALABAMA";;;103430;413;1.304145319;98.71794872
77.0;"Walker County";"ALABAMA";;;103450;647;30.83032491;67.23868955
85.0;"Washington County";"ALABAMA";;;103480;284;21.51543499;95.57823129
79.0;"Wilcox County";"ALABAMA";;;103510;170;53.61173815;67.04545455
89.0;"Winfield City";"ALABAMA";;;103540;80;22.01225741;87.89237668
85.0;"Winston County";"ALABAMA";;;103580;234;28.47880299;94.66421343
44.0;"Lower Kuskokwim School District";"ALASKA";;;200001;246;9.210151126;94.5870923
44.0;"Lower Yukon School District";"ALASKA";;;200003;105;24.76105137;71.45187602
64.0;"Bering Strait School District";"ALASKA";;;200020;102;22.2497347;72.90116897
59.0;"Delta/Greely School District";"ALASKA";;;200100;81;5.351280368;96.47177419
73.0;"Galena City School District";"ALASKA";;;200130;306;17.77970512;75.0
77.0;"Ketchikan Gateway Borough School District";"ALASKA";;;200150;218;4.633046331;96.37096774
73.0;"Anchorage School District";"ALASKA";;;200180;3738;8.41740227;87.77698356
70.0;"Juneau Borough School District";"ALASKA";;;200210;446;3.294475418;95.11691885
74.0;"Sitka School District";"ALASKA";;;200240;123;11.32432432;97.62114537
79.0;"Kenai Peninsula Borough School District";"ALASKA";;;200390;779;2.294853964;92.30769231
80.0;"Kodiak Island Borough School District";"ALASKA";;;200480;230;9.362808843;96.92982456
72.0;"Matanuska-Susitna Borough School District";"ALASKA";;;200510;1413;9.057363301;89.87341772
27.0;"Nenana City School District";"ALASKA";;;200540;205;17.63110307;81.15384615
70.0;"Fairbanks North Star Borough School District";"ALASKA";;;200600;1016;2.109148431;93.52014011
59.0;"North Slope Borough School District";"ALASKA";;;200610;111;23.41381247;81.20567376
54.0;"Northwest Arctic Borough School District";"ALASKA";;;200625;131;18.05477921;85.40772532
59.0;"Southwest Region School District";"ALASKA";;;200710;55;26.90935046;81.89655172
94.0;"Valdez City School District";"ALASKA";;;200780;65;6.747341401;98.72423945
44.0;"Yukon/Koyukuk School District";"ALASKA";;;200862;156;17.77970512;75.0
92.0;"Cave Creek Unified District";"ARIZONA";;;400001;437;1.479046837;94.89051095
72.0;"Chino Valley Unified District";"ARIZONA";;;400003;207;3.247351451;95.33333333
69.0;"Pinon Unified District";"ARIZONA";;;400023;102;40.98039216;51.74825175
74.0;"Colorado River Union High School District";"ARIZONA";;;400082;500;11.10124334;94.41624366
89.0;"Benson Unified School District";"ARIZONA";;;400212;105;20.8;82.26120858
78.0;"Kingman Unified School District";"ARIZONA";;;400295;469;11.40939597;65.09433962
82.0;"Agua Fria Union High School District";"ARIZONA";;;400450;1614;6.480471307;98.13953488
85.0;"Amphitheater Unified District";"ARIZONA";;;400680;1153;1.981868016;97.11229947
74.0;"Antelope Union High School District";"ARIZONA";;;400720;77;31.64179105;94.57013575
78.0;"Apache Junction Unified District";"ARIZONA";;;400790;360;7.458292444;100.0
74.0;"Bisbee Unified District";"ARIZONA";;;401180;92;17.65985211;76.00732601
86.0;"Buckeye Union High School District";"ARIZONA";;;401410;766;12.38172479;90.1214128
87.0;"Sierra Vista Unified District";"ARIZONA";;;401460;557;4.774230659;100.0
94.0;"Camp Verde Unified District";"ARIZONA";;;401600;102;11.51095732;84.3537415
76.0;"Casa Grande Union High School District";"ARIZONA";;;401740;775;2.943650126;100.0
95.0;"Catalina Foothills Unified District";"ARIZONA";;;401760;413;1.130279596;95.68627451
93.0;"Chandler Unified District";"ARIZONA";;;401870;2606;21.68674699;96.87203792
47.0;"Chinle Unified District";"ARIZONA";;;401940;290;21.47716229;75.97173145
72.0;"Coolidge Unified District";"ARIZONA";;;402320;324;10.4159066;94.50816823
82.0;"Douglas Unified District";"ARIZONA";;;402530;348;41.77777778;73.38551859
84.0;"Dysart Unified District";"ARIZONA";;;402690;1464;9.807692308;98.71043376
77.0;"Flagstaff Unified District";"ARIZONA";;;402860;692;20.07623888;89.91477273
79.0;"Florence Unified School District";"ARIZONA";;;402920;496;8.459337965;95.48762737
86.0;"Flowing Wells Unified District";"ARIZONA";;;403010;378;26.1051166;95.51357733
89.0;"Fountain Hills Unified District";"ARIZONA";;;403040;189;1.401245552;96.66238768
69.0;"Ganado Unified School District";"ARIZONA";;;403290;152;32.73837482;79.5959596
87.0;"Gilbert Unified District";"ARIZONA";;;403400;3049;3.429147756;95.0752394
88.0;"Glendale Union High School District";"ARIZONA";;;403450;3223;19.05290418;93.6969697
89.0;"Globe Unified District";"ARIZONA";;;403500;102;16.02147499;94.73684211
86.0;"Higley Unified School District";"ARIZONA";;;403780;651;5.422008547;89.07048008
84.0;"Holbrook Unified District";"ARIZONA";;;403820;167;8.430717863;94.21965318
85.0;"Humboldt Unified District";"ARIZONA";;;403870;383;8.035040024;89.77968176
64.0;"Indian Oasis-Baboquivari Unified District";"ARIZONA";;;403950;72;34.6969697;61.64383562
74.0;"J O Combs Unified School District";"ARIZONA";;;403990;190;7.187581529;86.39264743
84.0;"Kayenta Unified District";"ARIZONA";;;404060;177;40.39971449;81.7679558
80.0;"Lake Havasu Unified District";"ARIZONA";;;404280;513;12.88905862;90.30100334
79.0;"Mammoth-San Manuel Unified District";"ARIZONA";;;404570;93;21.28863735;80.75117371
82.0;"Marana Unified District";"ARIZONA";;;404630;870;7.838635618;93.25068871
76.0;"Maricopa Unified School District";"ARIZONA";;;404720;370;4.428904429;91.4221219
75.0;"Mesa Unified District";"ARIZONA";;;404970;4473;36.50469579;92.42579325
79.0;"Miami Unified District";"ARIZONA";;;405030;66;24.56503728;87.2651357
83.0;"Mingus Union High School District";"ARIZONA";;;405070;316;3.763877606;100.0
94.0;"Morenci Unified District";"ARIZONA";;;405320;77;10.15667207;86.90944882
83.0;"Nogales Unified District";"ARIZONA";;;405530;430;47.16544543;79.89130435
77.0;"Page Unified District";"ARIZONA";;;405820;210;12.61052632;89.216264
88.0;"Paradise Valley Unified District";"ARIZONA";;;405930;2452;9.083536091;98.37288136
69.0;"Parker Unified School District";"ARIZONA";;;405980;155;37.03949552;94.53488372
84.0;"Payson Unified District";"ARIZONA";;;406070;169;8.765366114;73.67256637
93.0;"Peoria Unified School District";"ARIZONA";;;406250;2719;20.6915181;87.29216152
75.0;"Phoenix Union High School District";"ARIZONA";;;406330;5653;18.4866724;90.76262084
90.0;"Pima Unified District";"ARIZONA";;;406440;56;9.033923304;89.36403509
77.0;"Blue Ridge Unified District";"ARIZONA";;;406580;204;9.253499222;98.8317757
84.0;"Prescott Unified District";"ARIZONA";;;406730;436;5.124080882;96.16685457
69.0;"Sanders Unified District";"ARIZONA";;;406740;108;33.00330033;79.93827161
90.0;"Queen Creek Unified District";"ARIZONA";;;406810;361;4.209328783;97.69921437
59.0;"Red Mesa Unified District";"ARIZONA";;;406870;101;35.75547866;94.0
54.0;"San Carlos Unified District";"ARIZONA";;;406960;103;29.45270484;67.71378709
79.0;"Round Valley Unified District";"ARIZONA";;;407130;99;15.52323743;98.33187006
89.0;"Saddle Mountain Unified School District";"ARIZONA";;;407170;67;8.406669755;94.8421863
70.0;"Safford Unified District";"ARIZONA";;;407240;222;9.527170078;93.68421053
78.0;"Sahuarita Unified District";"ARIZONA";;;407300;390;10.05199307;
80.0;"Santa Cruz Valley Unified District";"ARIZONA";;;407520;259;11.23399302;100.0
69.0;"Santa Cruz Valley Union High School District";"ARIZONA";;;407530;108;2.637046508;86.41791045
90.0;"Scottsdale Unified District";"ARIZONA";;;407570;2149;19.57906397;89.29242329
89.0;"Show Low Unified District";"ARIZONA";;;407700;193;11.67560745;100.0
91.0;"Deer Valley Unified District";"ARIZONA";;;407750;2537;14.33793664;96.6609589
94.0;"Snowflake Unified District";"ARIZONA";;;407820;156;17.60644419;89.48019802
89.0;"St Johns Unified District";"ARIZONA";;;408080;93;14.94505495;83.69384359
73.0;"Sunnyside Unified District";"ARIZONA";;;408170;1050;35.171213;81.12128147
94.0;"Tanque Verde Unified District";"ARIZONA";;;408280;70;4.689564069;88.16326531
88.0;"Tempe Union High School District";"ARIZONA";;;408340;3267;2.907754011;95.34883721
94.0;"Thatcher Unified District";"ARIZONA";;;408410;108;7.028531663;82.95739348
81.0;"Tolleson Union High School District";"ARIZONA";;;408520;2162;29.09591556;90.91967404
94.0;"Tombstone Unified District";"ARIZONA";;;408600;66;10.39516738;93.11639549
64.0;"Tuba City Unified District";"ARIZONA";;;408680;199;17.92245794;96.66666667
80.0;"Tucson Unified District";"ARIZONA";;;408800;3431;24.00240024;84.96905394
92.0;"Vail Unified District";"ARIZONA";;;408850;726;1.860955056;98.41521395
59.0;"Whiteriver Unified District";"ARIZONA";;;409160;182;39.38077132;58.01886793
89.0;"Wickenburg Unified District";"ARIZONA";;;409190;182;17.86757546;91.21405751
84.0;"Willcox Unified District";"ARIZONA";;;409250;103;28.45138055;83.92523365
89.0;"Williams Unified District";"ARIZONA";;;409310;56;13.92527899;96.40410959
69.0;"Window Rock Unified District";"ARIZONA";;;409430;225;15.94202899;88.04780877
84.0;"Winslow Unified District";"ARIZONA";;;409460;199;12.65731751;84.15458937
77.0;"Yuma Union High School District";"ARIZONA";;;409630;2545;41.32573796;84.30813124
;"Sedona-Oak Creek JUSD";;;;409733;;;
84.0;"DEWITT SCHOOL DISTRICT";"ARKANSAS";;;500001;90;15.25974026;90.46242775
94.0;"WARREN SCHOOL DISTRICT";"ARKANSAS";;;500006;105;14.74074074;97.16981132
84.0;"CORNING SCHOOL DISTRICT";"ARKANSAS";;;500009;80;26.22222222;83.41625207
95.0;"RIVERSIDE SCHOOL DISTRICT";"ARKANSAS";;;500012;61;21.16585704;81.46911519
78.0;"SHERIDAN SCHOOL DISTRICT";"ARKANSAS";;;500015;331;16.91331924;94.52181987
90.0;"MARMADUKE SCHOOL DISTRICT";"ARKANSAS";;;500016;60;25.95005429;89.66165414
79.0;"PARAGOULD SCHOOL DISTRICT";"ARKANSAS";;;500017;180;14.04996562;92.8452579
88.0;"BATESVILLE SCHOOL DISTRICT";"ARKANSAS";;;500019;202;31.89812007;98.85714286
89.0;"NEWPORT SCHOOL DISTRICT";"ARKANSAS";;;500023;112;20.51915946;78.74186551
72.0;"PINE BLUFF SCHOOL DISTRICT";"ARKANSAS";;;500026;320;13.01369863;78.65707434
89.0;"STAR CITY SCHOOL DISTRICT";"ARKANSAS";;;500028;128;15.23722628;85.20801233
74.0;"GOSNELL SCHOOL DISTRICT";"ARKANSAS";;;500029;103;22.67637178;87.54448399
89.0;"HAMBURG SCHOOL DISTRICT";"ARKANSAS";;;500042;129;19.26260346;91.2596401
85.0;"MOUNTAIN HOME SCHOOL DISTRICT";"ARKANSAS";;;500043;317;14.52464789;97.19350074
91.0;"MAGNOLIA SCHOOL DISTRICT";"ARKANSAS";;;500044;219;7.732406603;90.75309819
89.0;"SO. MISS. COUNTY SCHOOL DIST.";"ARKANSAS";;;500045;71;27.58374911;81.42857143
89.0;"MANILA SCHOOL DISTRICT";"ARKANSAS";;;500046;65;25.95437091;93.42751843
89.0;"TRUMANN SCHOOL DISTRICT";"ARKANSAS";;;500047;99;18.40558413;88.0952381
74.0;"EAST POINSETT CO. SCHOOL DIST.";"ARKANSAS";;;500048;63;36.33907464;86.4978903
89.0;"DEQUEEN SCHOOL DISTRICT";"ARKANSAS";;;500049;159;54.19783874;86.90386071
90.0;"LAFAYETTE COUNTY SCHOOL DISTRICT";"ARKANSAS";;;500065;56;20.73747242;81.34969325
90.0;"CLEVELAND COUNTY SCHOOL DIST.";"ARKANSAS";;;500067;56;15.63332065;72.76214834
79.0;"EMERSON-TAYLOR SCHOOL DISTRICT";"ARKANSAS";;;500068;52;12.41399083;94.90616622
90.0;"CEDAR RIDGE SCHOOL DISTRICT";"ARKANSAS";;;500070;55;14.85368957;91.03092784
90.0;"OUACHITA RIVER SCHOOL DISTRICT";"ARKANSAS";;;500073;57;17.24770642;89.69072165
94.0;"OZARK MOUNTAIN SCHOOL DISTRICT";"ARKANSAS";;;500076;64;26.71059301;90.53254438
89.0;"TWO RIVERS SCHOOL DISTRICT";"ARKANSAS";;;500079;74;35.12565751;93.20987654
90.0;"ALMA SCHOOL DISTRICT";"ARKANSAS";;;502250;252;10.89904571;86.48905804
84.0;"ARKADELPHIA SCHOOL DISTRICT";"ARKANSAS";;;502430;137;10.10281627;96.21409922
94.0;"ASHDOWN SCHOOL DISTRICT";"ARKANSAS";;;502580;105;16.26256653;94.53262787
79.0;"ATKINS SCHOOL DISTRICT";"ARKANSAS";;;502610;64;18.95953757;89.98887653
94.0;"BALD KNOB SCHOOL DISTRICT";"ARKANSAS";;;502700;81;30.1369863;81.67832168
89.0;"BARTON-LEXA SCHOOL DISTRICT";"ARKANSAS";;;502730;60;28.16212439;92.63932702
94.0;"BAUXITE SCHOOL DISTRICT";"ARKANSAS";;;502790;105;14.54427925;90.23090586
83.0;"BEEBE SCHOOL DISTRICT";"ARKANSAS";;;502880;240;18.16978322;90.90457257
92.0;"BENTON SCHOOL DISTRICT";"ARKANSAS";;;502960;330;18.73028391;92.13483146
94.0;"PEA RIDGE SCHOOL DISTRICT";"ARKANSAS";;;503030;105;16.4187643;96.65454546
85.0;"BENTONVILLE SCHOOL DISTRICT";"ARKANSAS";;;503060;798;5.056179775;95.45454546
89.0;"BERGMAN SCHOOL DISTRICT";"ARKANSAS";;;503090;66;16.81117534;91.28440367
69.0;"BERRYVILLE SCHOOL DISTRICT";"ARKANSAS";;;503150;126;23.92270102;96.71814672
94.0;"BISMARCK SCHOOL DISTRICT";"ARKANSAS";;;503240;75;15.7726378;85.09763618
89.0;"BLEVINS SCHOOL DISTRICT";"ARKANSAS";;;503300;59;18.35803877;99.54493743
72.0;"BLYTHEVILLE SCHOOL DISTRICT";"ARKANSAS";;;503320;215;35.23316062;59.23566879
94.0;"BOONEVILLE SCHOOL DISTRICT";"ARKANSAS";;;503450;103;24.62887989;87.86919831
89.0;"BRINKLEY SCHOOL DISTRICT";"ARKANSAS";;;503630;75;28.80658436;88.23529412
89.0;"BROOKLAND SCHOOL DISTRICT";"ARKANSAS";;;503640;102;19.87951807;98.66156788
80.0;"BRYANT SCHOOL DISTRICT";"ARKANSAS";;;503690;581;5.703998484;95.66820277
89.0;"BUFFALO IS. CENTRAL SCH. DIST.";"ARKANSAS";;;503710;65;21.16585704;81.46911519
87.0;"CABOT SCHOOL DISTRICT";"ARKANSAS";;;503750;715;5.281846427;86.67790894
90.0;"CARLISLE SCHOOL DISTRICT";"ARKANSAS";;;503960;60;17.55368814;94.77234401
84.0;"WESTSIDE CONS. SCHOOL DISTRICT";"ARKANSAS";;;504020;115;23.27790974;95.32273153
84.0;"CAVE CITY SCHOOL DISTRICT";"ARKANSAS";;;504050;114;15.45565006;89.80582524
94.0;"CEDARVILLE SCHOOL DISTRICT";"ARKANSAS";;;504080;86;20.66784721;97.14912281
94.0;"GENOA CENTRAL SCHOOL DISTRICT";"ARKANSAS";;;504110;81;13.13752729;98.01916933
94.0;"CHARLESTON SCHOOL DISTRICT";"ARKANSAS";;;504200;75;12.95302013;93.31476323
94.0;"CLARKSVILLE SCHOOL DISTRICT";"ARKANSAS";;;504380;132;21.19402985;100.0
94.0;"CLINTON SCHOOL DISTRICT";"ARKANSAS";;;504410;110;25.74955908;95.90268886
86.0;"CONWAY SCHOOL DISTRICT";"ARKANSAS";;;504590;626;9.473684211;100.0
79.0;"CROSSETT SCHOOL DISTRICT";"ARKANSAS";;;504800;150;14.40677966;94.27402863
94.0;"DANVILLE SCHOOL DISTRICT";"ARKANSAS";;;504890;69;37.33480176;88.78205128
84.0;"DARDANELLE SCHOOL DISTRICT";"ARKANSAS";;;504930;112;23.5915493;97.75147929
74.0;"DOLLARWAY SCHOOL DISTRICT";"ARKANSAS";;;505410;136;21.53846154;89.24205379
84.0;"DOVER SCHOOL DISTRICT";"ARKANSAS";;;505430;96;13.72093023;97.36
84.0;"DREW CENTRAL SCHOOL DISTRICT";"ARKANSAS";;;505470;66;13.8547486;87.12029162
89.0;"DUMAS SCHOOL DISTRICT";"ARKANSAS";;;505500;110;30.9164149;83.78378378
84.0;"EARLE SCHOOL DISTRICT";"ARKANSAS";;;505550;74;31.44876325;61.57407407
90.0;"EAST END SCHOOL DISTRICT";"ARKANSAS";;;505580;52;13.25568497;95.03171247
82.0;"EL DORADO SCHOOL DISTRICT";"ARKANSAS";;;505680;385;26.27437564;88.19241983
94.0;"ELKINS SCHOOL DISTRICT";"ARKANSAS";;;505760;86;13.01210428;88.45909956
89.0;"ENGLAND SCHOOL DISTRICT";"ARKANSAS";;;505850;69;22.58233142;89.64879852
84.0;"CAMDEN FAIRVIEW SCHOOL DIST.";"ARKANSAS";;;506060;197;17.0365068;95.57377049
95.0;"FARMINGTON SCHOOL DISTRICT";"ARKANSAS";;;506090;154;10.63082059;93.62115908
87.0;"FAYETTEVILLE SCHOOL DISTRICT";"ARKANSAS";;;506120;619;12.24751523;91.26614987
90.0;"FLIPPIN SCHOOL DISTRICT";"ARKANSAS";;;506150;53;14.95901639;90.19316493
94.0;"FORDYCE SCHOOL DISTRICT";"ARKANSAS";;;506210;72;18.44138394;82.1603928
89.0;"FOREMAN SCHOOL DISTRICT";"ARKANSAS";;;506240;54;15.94718131;93.79310345
76.0;"FORREST CITY SCHOOL DISTRICT";"ARKANSAS";;;506270;250;18.97435897;84.62311558
72.0;"FORT SMITH SCHOOL DISTRICT";"ARKANSAS";;;506330;1004;7.870593916;100.0
90.0;"FOUKE SCHOOL DISTRICT";"ARKANSAS";;;506360;60;16.71479531;84.51536643
89.0;"FOUNTAIN LAKE SCHOOL DISTRICT";"ARKANSAS";;;506420;93;3.794492948;96.23430962
84.0;"GENTRY SCHOOL DISTRICT";"ARKANSAS";;;506540;84;18.36783823;96.1038961
89.0;"GLEN ROSE SCHOOL DISTRICT";"ARKANSAS";;;506630;62;17.94577206;92.80125196
94.0;"CENTERPOINT SCHOOL DISTRICT";"ARKANSAS";;;506690;81;21.1856171;90.71680376
